income;percentage;tax
98900;9.8738;9765.20
99000;9.8822;9783.40
99100;9.8906;9801.60
99200;9.8990;9819.80
99300;9.9075;9838.15
99400;9.9161;9856.60
99500;9.9245;9874.90
99600;9.9330;9893.25
99700;9.9414;9911.60
99800;9.9498;9929.90
99900;9.9584;9948.45
100000;9.9668;9966.80
100100;9.9753;9985.30
100200;9.9837;10003.65
100300;9.9921;10022.10
100400;10.0005;10040.50
100500;10.0091;10059.15
100600;10.0176;10077.70
100700;10.0260;10096.20
100800;10.0346;10114.90
100900;10.0431;10133.50
101000;10.0514;10151.90
101100;10.0599;10170.55
101200;10.0685;10189.30
101300;10.0770;10208.00
101400;10.0853;10226.50
101500;10.0937;10245.10
101600;10.1022;10263.85
101700;10.1108;10282.70
101800;10.1192;10301.35
101900;10.1277;10320.15
102000;10.1361;10338.80
102100;10.1447;10357.75
102200;10.1531;10376.45
102300;10.1616;10395.30
102400;10.1700;10414.10
102500;10.1786;10433.05
102600;10.1868;10451.65
102700;10.1955;10470.80
102800;10.2039;10489.60
102900;10.2122;10508.35
103000;10.2209;10527.55
103100;10.2294;10546.50
103200;10.2378;10565.40
103300;10.2464;10584.55
103400;10.2546;10603.25
103500;10.2630;10622.20
103600;10.2717;10641.50
103700;10.2801;10660.45
103800;10.2885;10679.45
103900;10.2969;10698.50
104000;10.3055;10717.70
104100;10.3140;10736.85
104200;10.3226;10756.15
104300;10.3308;10775.00
104400;10.3394;10794.35
104500;10.3478;10813.45
104600;10.3562;10832.60
104700;10.3649;10852.05
104800;10.3731;10871.00
104900;10.3815;10890.20
105000;10.3902;10909.70
105100;10.3986;10928.95
105200;10.4070;10948.15
105300;10.4156;10967.65
105400;10.4241;10987.00
105500;10.4325;11006.30
105600;10.4411;11025.80
105700;10.4493;11044.90
105800;10.4579;11064.45
105900;10.4664;11083.90
106000;10.4748;11103.30
106100;10.4834;11122.90
106200;10.4918;11142.30
106300;10.5000;11161.50
106400;10.5075;11180.00
106500;10.5150;11198.50
106600;10.5224;11216.90
106700;10.5295;11235.00
106800;10.5368;11253.30
106900;10.5442;11271.75
107000;10.5516;11290.20
107100;10.5589;11308.60
107200;10.5663;11327.05
107300;10.5736;11345.45
107400;10.5809;11363.90
107500;10.5883;11382.40
107600;10.5956;11400.85
107700;10.6030;11419.45
107800;10.6102;11437.80
107900;10.6175;11456.30
108000;10.6248;11474.80
108100;10.6323;11493.50
108200;10.6395;11511.95
108300;10.6469;11530.60
108400;10.6543;11549.25
108500;10.6617;11567.95
108600;10.6690;11586.55
108700;10.6763;11605.15
108800;10.6836;11623.75
108900;10.6911;11642.60
109000;10.6983;11661.15
109100;10.7055;11679.70
109200;10.7129;11698.50
109300;10.7204;11717.40
109400;10.7276;11736.00
109500;10.7352;11755.05
109600;10.7423;11773.55
109700;10.7496;11792.30
109800;10.7570;11811.20
109900;10.7644;11830.10
110000;10.7717;11848.85
110100;10.7790;11867.70
110200;10.7863;11886.50
110300;10.7938;11905.55
110400;10.8011;11924.40
110500;10.8084;11943.30
110600;10.8158;11962.25
110700;10.8232;11981.30
110800;10.8305;12000.20
110900;10.8379;12019.25
111000;10.8450;12037.95
111100;10.8523;12056.90
111200;10.8598;12076.10
111300;10.8671;12095.10
111400;10.8744;12114.10
111500;10.8817;12133.10
111600;10.8890;12152.10
111700;10.8964;12171.30
111800;10.9039;12190.55
111900;10.9112;12209.65
112000;10.9185;12228.70
112100;10.9258;12247.80
112200;10.9332;12267.05
112300;10.9404;12286.05
112400;10.9479;12305.45
112500;10.9550;12324.40
112600;10.9625;12343.80
112700;10.9698;12362.95
112800;10.9771;12382.15
112900;10.9845;12401.50
113000;10.9919;12420.85
113100;10.9992;12440.10
113200;11.0066;12459.45
113300;11.0139;12478.75
113400;11.0212;12498.05
113500;11.0285;12517.35
113600;11.0359;12536.80
113700;11.0433;12556.25
113800;11.0507;12575.70
113900;11.0577;12594.70
114000;11.0652;12614.35
114100;11.0725;12633.70
114200;11.0801;12653.45
114300;11.0873;12672.80
114400;11.0946;12692.20
114500;11.1019;12711.70
114600;11.1093;12731.25
114700;11.1166;12750.75
114800;11.1240;12770.35
114900;11.1313;12789.85
115000;11.1386;12809.40
115100;11.1460;12829.05
115200;11.1533;12848.60
115300;11.1605;12868.05
115400;11.1679;12887.75
115500;11.1754;12907.60
115600;11.1825;12926.95
115700;11.1900;12946.85
115800;11.1972;12966.35
115900;11.2046;12986.15
116000;11.2120;13005.90
116100;11.2194;13025.70
116200;11.2267;13045.45
116300;11.2340;13065.15
116400;11.2413;13084.85
116500;11.2488;13104.85
116600;11.2561;13124.60
116700;11.2634;13144.40
116800;11.2706;13164.05
116900;11.2779;13183.85
117000;11.2852;13203.70
117100;11.2929;13224.00
117200;11.3000;13243.60
117300;11.3073;13263.45
